,fname_green,label,area,eccentricity,perimeter,mean_intensity_green,bg_value_mask,fname_red,mean_intensity_red,bg_value_channel,intensity_ratio
439,Z1_C0_T17.tif,38_2,102,0.9129007070084008,47.21320343559643,10342.564705882356,6813.54,Z1_C1_T17.tif,1047.6239215686278,3502.36,9.872402197914909
440,Z1_C0_T17.tif,38_3,43,0.8322283774469841,21.69238815542512,9424.393023255812,6813.54,Z1_C1_T17.tif,1858.8200000000006,3502.36,5.070094481044861
441,Z1_C0_T17.tif,38_4,41,0.1349135817998279,20.48528137423857,10601.446341463414,6813.54,Z1_C1_T17.tif,1123.5760975609758,3502.36,9.435450224045088
442,Z1_C0_T17.tif,38_5,60,0.8507355717669473,30.727922061357855,10852.633333333337,6813.54,Z1_C1_T17.tif,411.8033333333335,3502.36,26.353922989129114
443,Z1_C0_T17.tif,38_6,19,0.7917026722706746,13.899494936611664,9292.82631578947,6813.54,Z1_C1_T17.tif,1690.4515789473685,3502.36,5.497244896879001
444,Z1_C0_T17.tif,38_7,62,0.8365942726832186,31.556349186104047,9855.09032258065,6813.54,Z1_C1_T17.tif,841.045806451613,3502.36,11.717661805079857
445,Z1_C0_T17.tif,38_8,20,0.7302967433402214,13.65685424949238,9421.849999999997,6813.54,Z1_C1_T17.tif,439.4700000000001,3502.36,21.439119848908902
446,Z1_C0_T17.tif,38_9,25,0.8653323061113574,17.31370849898476,9316.54,6813.54,Z1_C1_T17.tif,28373.259999999995,3502.36,0.3283563467856708
447,Z1_C0_T18.tif,39_1,51,0.8290043172661913,25.071067811865476,8937.125686274509,6813.54,Z1_C1_T18.tif,1044.3117647058823,3502.36,8.557909609293295
448,Z1_C0_T18.tif,39_2,107,0.9344637871363257,45.798989873223334,9952.638971962615,6813.54,Z1_C1_T18.tif,1309.460747663551,3502.36,7.600563048354784
449,Z1_C0_T18.tif,39_3,50,0.820650911126558,25.31370849898476,8878.05,6813.54,Z1_C1_T18.tif,956.66,3502.36,9.28025630840633
